Музей политической истории,политический история
Туалет,туалет
ТЦ «Великан-парк»,великан парк
Кинотеатр,кинотеатр
Кофейня «Больше кофе!» в гроте,грот
Метро «Горьковская»,метро
Петропавловская крепость,петропавловский крепость
Балтийский дом,балтийский дом
Мюзик-холл,мюзик-холл
Музей артиллерии,артиллерийский музей
Планетарий,планетарий
Ленинградский зоопарк,зоопарк
Мини-Питер,город в миниатюра
Соборная мечеть,мечеть
ИТМО,итмо
Сытный рынок,сытный рынок
Детская площадка,детский площадка
Кафе «Идеальная чашка»,идеальный чашка
Ресторан «Ветер Китая»,ветер китай
Ресторан «Городская дача»,городской дача
ДаблБи,дабла би
Ресторан «ParkKing»,park king
Киоск Билетёр,киоск билетер
Клуб космонавтики,клуб космонавтика
Burger King,бургер кинг,бургеркинг,burger king,burgerking
Театры,театр
Сам парк,"Часть парка перед мечетью; часть парка перед Домом Политзаключенных; кафе Грот; часть парка между БургерКингом и Горьковской"
Сам парк,сам парк
Кафе,кафе
